Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Recommended age group (product.metafields.shopify.recommended-age-group),Toy/Game material (product.metafields.shopify.toy-game-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
blackjack-table,Blackjack Table,"<p><span><strong>Blackjack Table Rental - Bet on a Night of Fun!</strong></span></p>
<p><span>Bring the timeless excitement of blackjack to your event with our professional blackjack table rental! Ideal for corporate functions, staff parties, charity events, and special celebrations, our blackjack tables promise to keep your guests entertained and engaged all night long.</span></p>
<p><span><strong>What’s Included:</strong></span></p>
<ul>
<li>
<p><span>High-Quality Blackjack Table with Professional Layout</span></p>
</li>
<li>
<p><span>Full Set of Casino-Grade Chips</span></p>
</li>
<li>
<p><span>Professional Dealer (Available upon Request)</span></p>
</li>
<li>
<p><span>Decks of Cards and Dealing Shoe</span></p>
</li>
</ul>
<p><span><strong>Why Choose Us:</strong></span></p>
<ul>
<li>
<p><span>Premium Equipment for an Authentic Casino Experience</span></p>
</li>
<li>
<p><span>Experienced Staff to Ensure Smooth Gameplay</span></p>
</li>
<li>
<p><span>Customizable Packages to Suit Any Event Size</span></p>
</li>
</ul>
<p><span>Watch as your guests gather around the table, strategizing and cheering with each hand, creating an atmosphere of camaraderie and excitement.</span></p>
<p> </p>",Giant Promotions Online Store,Toys & Games > Games > Blackjack & Craps Sets,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/BlackJackTable.jpg?v=1732135742,1,"",false,,,,,,,,,,,,,,,black,18-years-or-older,metal; plastic,,kg,,,active
roulette-table,Roulette Table,"<p><span><strong>Roulette Table Rental - Spin the Wheel of Fortune!</strong></span></p>
<p><span>Elevate your event with the classic allure and excitement of a professional roulette table! Perfect for corporate functions, staff parties, charity events, and special celebrations, our roulette table rental brings the sophisticated thrill of the casino to you.</span></p>
<p><span><strong>What’s Included:</strong></span></p>
<ul>
<li>
<p><span>High-Quality Roulette Table with Professional Layout</span></p>
</li>
<li>
<p><span>Authentic Roulette Wheel and Ball</span></p>
</li>
<li>
<p><span>Full Set of Casino-Grade Chips</span></p>
</li>
<li>
<p><span>Professional Dealer (Available upon Request)</span></p>
</li>
</ul>
<p><span><strong>Why Choose Us:</strong></span></p>
<ul>
<li>
<p><span>Premium Equipment for an Authentic Casino Experience</span></p>
</li>
<li>
<p><span>Experienced Staff to Ensure Smooth Gameplay</span></p>
</li>
<li>
<p><span>Customizable Packages to Suit Any Event Size</span></p>
</li>
</ul>
<p><span>Let your guests experience the anticipation and exhilaration of every spin, creating unforgettable moments and a night filled with high-stakes fun!</span></p>
<p><span><strong>Book your roulette table today and add a touch of glamour and excitement to your next event!</strong></span></p>",Giant Promotions Online Store,Toys & Games > Games > Roulette Wheels & Sets,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/RouletteTable.jpg?v=1732135481,1,"",false,,,,,,,,,,,,,,,green,18-years-or-older,metal; plastic,,kg,,,active
led-portable-bar,LED Portable Bar,"<p>Upgrade your events with our LED Portable Bar. Impress your clients with fully customizable graphics that showcase your brand. Stand out from the competition and elevate your brand image with this portable bar. The perfect addition to any event, easily transport and display your brand with ease.</p>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/PortableBar.png?v=1715358644,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
canada-hot-air-balloon,Canada Hot Air Balloon,"<span data-mce-fragment=""1"">Introducing our stunning 21-foot Inflatable Canada Hot Air Balloon Display! Adorned with the iconic maple leaf, this towering spectacle celebrates Canada's rich heritage and beauty. Perfect for events, festivals, or promotions, our inflatable display adds a touch of grandeur and national pride to any setting. Eye-catching from every angle, it's sure to leave a lasting impression. Elevate your event with this majestic symbol of Canada – book now and make a statement that's impossible to miss!</span>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/CanadianHotAirBalloon.jpg?v=1713478352,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
inflatable-dice,Inflatable Dice,"<span data-mce-fragment=""1"">Discover our vibrant Inflatable Dice Display, offered in 16 and 32-inch options! Inject a dose of excitement into your event with these oversized dice, designed to add fun and flair. Ideal for casino-themed nights, game-centric parties, or promotional occasions, our inflatable dice are guaranteed to delight guests of all ages. Lightweight, durable, and effortless to set up, they're the ideal choice for any gathering. Take your event to the next level – reserve yours today and get ready for a memorable experience!</span>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/32inchesDiameterInflatableDice.jpg?v=1713478149,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
inflatable-dice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/16inchesDiameterInflatableDice.jpg?v=1713478150,2,"",,,,,,,,,,,,,,,,,,,,,,,
inflatable-vegas-sign,Inflatable Vegas Sign,"<span data-mce-fragment=""1"">Welcome to the epitome of Vegas-style extravagance – our 10-foot inflatable Las Vegas-style customizable sign with dazzling LED lights! Elevate your event to iconic status with this larger-than-life centerpiece that captivates and enchants guests from the moment they arrive. Perfect for corporate galas, themed parties, or promotional events, our customizable sign adds a touch of glamour and sophistication to any occasion. Light up the night and make a lasting impression – book now and let the festivities begin!</span><br>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/10_TallInflatableVegasSignwithLEDLights.jpg?v=1713478042,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
inflatable-slot-machine,Inflatable Slot Machine,"<span data-mce-fragment=""1"">Step right up to the ultimate attraction for your casino-themed event – our towering 7-foot inflatable slot machine! Bring the thrill of the casino floor to your party with this larger-than-life centerpiece that's guaranteed to catch everyone's eye. Perfect for parties, promotions, or any occasion where you want to add a touch of excitement. Book now and hit the jackpot with your guests!</span>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/7_TallInflatableSlotMachine.jpg?v=1713477920,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
inflatable-cards,Inflatable Cards,"<span data-mce-fragment=""1"">Introducing our larger-than-life 6-foot inflatable casino cards – the perfect way to bring the excitement of the casino to your event! These eye-catching decorations are sure to impress your guests and set the stage for an unforgettable experience. Whether you're hosting a casino night, poker tournament, or themed party, our inflatable casino cards add a touch of glamour and fun to any occasion. Elevate your event to the next level – book now!</span>",Giant Promotions Online Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1682/6237/files/6_TallInflatableCards_SingleSided.jpg?v=1713477834,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
inflatable-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1682/6237/files/6_TallInflatableCards_SingleSided_BackSide.jpg?v=1713477834,2,"",,,,,,,,,,,,,,,,,,,,,,,
